,District,Conf,Act,Rec,Des
506,Subarnapur,0,0,0,0
507,Sundargarh,0,0,0,0
508,Unknown,0,0,0,0
509,Amritsar,0,0,0,0
510,Barnala,0,0,0,0
511,Bathinda,0,0,0,0
512,Faridkot,0,0,0,0
513,Fatehgarh Sahib,0,0,0,0
514,Fazilka,0,0,0,0
515,Ferozepur,0,0,0,0
516,Gurdaspur,0,0,0,0
517,Hoshiarpur,0,0,0,0
518,Jalandhar,0,0,0,0
519,Kapurthala,0,0,0,0
520,Ludhiana,0,0,0,0
521,Mansa,0,0,0,0
522,Moga,0,0,0,0
523,Pathankot,0,0,0,0
524,Patiala,0,0,0,0
525,Rupnagar,0,0,0,0
526,S.A.S. Nagar,0,0,0,0
527,Sangrur,0,0,0,0
528,Shahid Bhagat Singh Nagar,0,0,0,0
529,Sri Muktsar Sahib,0,0,0,0
530,Tarn Taran,0,0,0,0
531,Karaikal,0,0,0,0
532,Mahe,0,0,0,0
533,Puducherry,0,0,0,0
534,Yanam,0,0,0,0
535,Ajmer,0,0,0,0
536,Alwar,0,0,0,0
537,Banswara,0,0,0,0
538,Baran,0,0,0,0
539,Barmer,0,0,0,0
540,Bharatpur,0,0,0,0
541,Bhilwara,0,0,0,0
542,Bikaner,0,0,0,0
543,BSF Camp,0,0,0,0
544,Bundi,0,0,0,0
545,Chittorgarh,0,0,0,0
546,Churu,0,0,0,0
547,Dausa,0,0,0,0
548,Dholpur,0,0,0,0
549,Dungarpur,0,0,0,0
550,Evacuees,0,0,0,0
551,Ganganagar,0,0,0,0
552,Hanumangarh,0,0,0,0
553,Italians,0,0,0,0
554,Jaipur,0,0,0,0
555,Jaisalmer,0,0,0,0
556,Jalore,0,0,0,0
557,Jhalawar,0,0,0,0
558,Jhunjhunu,0,0,0,0
559,Jodhpur,0,0,0,0
560,Karauli,0,0,0,0
561,Kota,0,0,0,0
562,Nagaur,0,0,0,0
563,Other State,0,0,0,0
564,Pali,0,0,0,0
565,Pratapgarh,0,0,0,0
566,Rajsamand,0,0,0,0
567,Sawai Madhopur,0,0,0,0
568,Sikar,0,0,0,0
569,Sirohi,0,0,0,0
570,Tonk,0,0,0,0
571,Udaipur,0,0,0,0
572,East Sikkim,0,0,0,0
573,North Sikkim,0,0,0,0
574,South Sikkim,0,0,0,0
575,West Sikkim,0,0,0,0
576,Unknown,0,0,0,0
577,Foreign Evacuees,0,0,0,0
578,Other State,0,0,0,0
579,Adilabad,0,0,0,0
580,Bhadradri Kothagudem,0,0,0,0
581,Hyderabad,0,0,0,0
582,Jagtial,0,0,0,0
583,Jangaon,0,0,0,0
584,Jayashankar Bhupalapally,0,0,0,0
585,Jogulamba Gadwal,0,0,0,0
586,Kamareddy,0,0,0,0
587,Karimnagar,0,0,0,0
588,Khammam,0,0,0,0
589,Komaram Bheem,0,0,0,0
590,Mahabubabad,0,0,0,0
591,Mahabubnagar,0,0,0,0
592,Mancherial,0,0,0,0
593,Medak,0,0,0,0
